county_fips,lat,lon,pop,has_trial_site,dist_nearest_trial_km
37129,34.210212,-77.878389,225702,True,0.0
37133,34.734255,-77.405266,204576,True,0.0
37135,35.980115,-79.082329,148696,True,0.0
37147,35.576487,-77.383372,170243,True,0.0
37151,35.766153,-79.829145,144171,True,0.0
37159,35.620923,-80.522841,146875,True,0.0
37173,35.437811,-83.411997,14117,True,0.0
37177,35.895302,-76.242529,3245,True,0.0
37179,35.01249,-80.631967,238267,True,0.0
37183,35.795346,-78.679962,1129410,True,0.0
37189,36.218213,-81.686035,54086,True,0.0
37191,35.372889,-77.986675,117333,True,0.0
37195,35.727699,-77.93379,78784,True,0.0
38015,46.823125,-100.761269,98458,True,0.0
38017,46.853248,-96.866085,184525,True,0.0
38035,47.904107,-97.114067,73170,True,0.0
38093,46.917429,-98.73948,21593,True,0.0
38101,48.251003,-101.324255,69919,True,0.0
39003,40.757218,-84.123687,102206,True,0.0
39009,39.342729,-82.09958,62431,True,0.0
39017,39.41063,-84.498421,390357,True,0.0
39023,39.927551,-83.83172,136001,True,0.0
39027,39.411451,-83.84298,42018,True,0.0
39035,41.448408,-81.677451,1264817,True,0.0
39041,40.213434,-83.012316,214124,True,0.0
39043,41.40534,-82.62729,75622,True,0.0
39045,39.799356,-82.672891,158921,True,0.0
39049,40.001224,-82.992171,1323807,True,0.0
39053,38.83179,-82.275222,29220,True,0.0
39057,39.725798,-83.997172,167966,True,0.0
39061,39.181054,-84.509096,830639,True,0.0
39063,41.038819,-83.642078,74920,True,0.0
39067,40.308308,-81.052878,14483,True,0.0
39085,41.685007,-81.319872,232603,True,0.0
39089,40.051058,-82.52159,178519,True,0.0
39093,41.391668,-82.110224,312964,True,0.0
39095,41.651951,-83.620346,431279,True,0.0
39097,39.923532,-83.378429,43824,True,0.0
39099,41.048246,-80.697024,228614,True,0.0
39101,40.582108,-83.127065,65359,True,0.0
39103,41.14417,-81.837739,182470,True,0.0
39113,39.744183,-84.206384,537309,True,0.0
39119,39.963489,-81.996844,86410,True,0.0
39123,41.532537,-83.080376,40364,True,0.0
39127,39.758487,-82.237977,35408,True,0.0
39129,39.671077,-82.992679,58539,True,0.0
39133,41.18075,-81.276935,161791,True,0.0
39139,40.761551,-82.54039,124936,True,0.0
39147,41.127755,-83.202108,55069,True,0.0
39149,40.319534,-84.194302,48230,True,0.0
39151,40.837592,-81.38898,374853,True,0.0
39153,41.11615,-81.511871,540428,True,0.0
39165,39.423255,-84.24395,242337,True,0.0
39167,39.409803,-81.517688,59771,True,0.0
39169,40.836466,-81.864476,116894,True,0.0
39171,41.532546,-84.57175,37102,True,0.0
39173,41.453257,-83.602769,132248,True,0.0
40017,35.493359,-97.766177,154405,True,0.0
40027,35.269308,-97.450434,295528,True,0.0
40039,35.547694,-98.828737,28513,True,0.0
40049,34.737491,-97.28949,25656,True,0.0
40083,35.822271,-97.442909,49555,True,0.0
40109,35.52553,-97.512375,796292,True,0.0
40119,36.0913,-97.007049,81646,True,0.0
40123,34.774213,-96.67319,38065,True,0.0
40143,36.1027,-95.91151,669279,True,0.0
40147,36.728457,-95.937432,52455,True,0.0
41003,44.573123,-123.275062,95184,True,0.0
41005,45.363411,-122.575016,421401,True,0.0
41017,44.090954,-121.306213,198253,True,0.0
41019,43.239963,-123.388771,111201,True,0.0
