county_fips,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke
18087,12.4,33.6,6.3,27.8,11.1,17.2,9.3,23.6,12.9,8.5,28.6,20.6,40.0,3.2
18089,11.1,34.9,5.8,21.0,12.9,20.4,12.1,22.4,15.3,9.8,26.9,18.1,39.9,3.3
18091,9.9,36.9,6.1,25.3,12.5,16.9,10.1,21.6,13.4,8.7,26.8,19.0,37.1,3.2
18093,8.4,34.2,6.0,26.1,11.0,13.5,8.2,19.9,10.7,7.5,25.1,19.1,41.8,3.0
18095,9.3,36.3,6.1,27.7,11.8,16.6,10.1,21.3,13.0,8.6,27.9,19.5,36.3,3.2
18097,10.7,38.0,5.8,25.3,12.8,18.7,11.7,21.0,14.5,9.6,24.4,17.8,38.4,3.4
18099,10.9,35.0,6.1,27.0,11.5,16.0,9.1,21.5,12.4,8.3,27.4,19.4,43.4,3.1
18101,9.0,35.2,6.4,27.3,11.5,15.1,9.1,21.1,11.8,8.1,25.7,20.0,39.1,3.2
18103,10.1,36.2,6.7,26.8,12.5,17.2,10.7,22.6,13.2,9.0,27.2,19.6,44.2,3.4
18105,7.2,32.6,5.8,26.7,11.0,13.2,7.9,18.6,10.2,7.4,21.9,18.2,35.7,2.9
18107,9.6,35.0,6.2,27.1,11.2,15.5,9.2,20.8,12.0,8.1,27.2,19.1,39.5,3.1
18109,8.1,33.8,5.8,26.5,10.9,12.8,7.2,18.6,10.5,7.0,23.1,18.8,37.3,2.9
18111,10.5,34.6,6.2,26.1,11.4,16.1,9.3,22.0,12.5,8.3,26.5,19.5,43.3,3.2
18113,11.0,33.1,5.9,25.3,11.1,15.3,8.4,20.7,12.1,8.0,25.9,19.0,39.5,3.0
18115,8.0,33.4,5.8,27.1,10.5,12.9,7.4,18.9,10.4,7.1,23.9,19.1,39.2,2.9
18117,9.5,35.4,6.3,28.4,11.5,16.2,9.8,21.7,12.4,8.4,26.9,20.5,39.5,3.2
