stateabbr,trial_count,site_count,year,diabetes_prevalence,diabetes_low_ci,diabetes_high_ci,places_access2,places_bphigh,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_loneliness,places_lpa,places_mhlth,places_obesity,population,poverty_rate,median_income,gini,pct_black,pct_hispanic,pct_no_vehicle,pct_no_internet,unemployment_rate,uninsured_pct,pct_bachelors_plus,pct_rural,medicaid_expanded,trials_per_100k,industry_trial_count,non_industry_trial_count,industry_trials_per_100k,non_industry_trials_per_100k,industry_pct,burden_decile,expected_trials_per_100k,coverage_residual,coverage_residual_z,coverage_quartile
MT,183,218,2023.0,8.300623968273253,7.068171599077534,9.609321180925162,9.607860239132107,27.846151025289775,25.890236089174632,8.300623968273253,12.360107606104144,8.787769084924557,17.35032764464795,10.12281619464065,7.994235928668321,31.674159821927166,19.648095715261814,18.461374602774754,31.591732253185327,1091840,12.411913951666987,66341,0.4644,0.551912368112544,4.202172479484173,4.642534527850927,10.276020066814292,2.437452611347139,8.4,34.0,83.13016209735065,1,16.76069753810082,180,3,16.48593200468933,0.27476553341148885,98.36065573770492,1.0,12.23168180598543,4.529015732115392,1.3026817465854514,Q4_high
NC,775,2081,2023.0,10.53038201087486,9.014702040318781,12.171660896486449,10.76400598291443,33.65919454214374,24.79944920900054,10.53038201087486,15.823000004235858,12.889216363873398,18.205715737672357,13.109212132721673,8.765476284606372,33.24499046225921,23.12215064406225,17.327468352255853,35.17611280702325,10470214,13.326107839513536,66186,0.4773,20.93992539216486,10.038075630545851,5.361524025925941,10.443136953039438,3.115323166252018,10.5,33.9,60.464732223766376,1,7.401949950593178,672,103,6.4182069249014395,0.9837430256917384,86.70967741935483,7.0,7.601857910310011,-0.19990795971683362,-0.05749956845449613,Q2
ND,119,132,2023.0,9.034276826125849,7.710255310484787,10.480545801679593,7.392063979492383,30.036186731465033,21.719842888423074,9.034276826125849,11.164417248561396,7.095255443997918,15.78067130402275,9.564903069466883,6.687384010467429,29.719545654815146,21.48596493277614,14.660712259175689,37.317087844964554,776874,10.763530000959008,73959,0.4521,3.248017052958395,4.27212134786336,5.2312537886126025,9.500746786319125,1.9890067039853554,7.2,31.4,81.65381840958857,1,15.317799282766575,118,1,15.189078280390385,0.1287210023761897,99.15966386554622,3.0,8.749234107370835,6.56856517539574,1.889317781470423,Q4_high
NE,283,404,2023.0,9.492680420013343,8.238176122175984,10.867004923930516,10.177793226974297,29.91003852726861,18.681042299855548,9.492680420013343,12.8442330308719,8.9835082053265,15.586493217157157,10.297640146362216,6.976026341993122,29.81970400318957,23.692695579815695,14.778831306127167,38.05132781837087,1958939,10.398441171678073,71722,0.4525,4.775799552717057,11.780305563368742,5.054232533337455,8.641398080061414,2.098540086442336,7.8,33.5,75.69125528166141,1,14.446595835807036,262,21,13.374586957531603,1.0720088782754338,92.57950530035336,4.0,8.2610153794183,6.185580456388736,1.7791598062764276,Q4_high
NH,98,103,2023.0,7.607959189707167,6.527120166538553,8.790225773127746,7.195076104083115,28.173146267317332,23.750041652029036,7.607959189707167,10.093876543038112,6.91502646947315,13.462009088664038,9.019224107046584,6.062161870741319,32.002006079978855,19.5730360937875,16.566462551434604,31.70804779809461,1379610,7.325117866625276,90845,0.4426,1.5163705684939948,4.251491363501279,4.6340595396209245,6.516961527454707,2.372378476802574,5.8,39.0,87.15961696632158,1,7.103456774015845,95,3,6.886004015627605,0.21745275838824016,96.93877551020408,1.0,12.23168180598543,-5.128225031969585,-1.4750324433978286,Q1_low
NJ,438,717,2023.0,9.404107683608013,8.18402608538832,10.762955647175605,11.777017728465882,29.26633576222459,15.64516854562244,9.404107683608013,14.869782190935823,8.680204190589421,16.254884925605218,13.145366277909462,7.7950222860879625,33.48246785167771,23.91693179540944,15.573477680466764,28.773875054236964,9249063,9.681402453796407,97126,0.4811,13.117707166661098,21.228344968566006,11.279340531365305,7.462271993000911,4.118984683870495,7.5,42.3,51.8504048985283,1,4.735614840119481,412,26,4.454505283400059,0.2811095567194212,94.06392694063926,4.0,8.2610153794183,-3.5254005392988192,-1.0140116978136542,Q1_low
NM,173,199,2023.0,11.41304719595147,9.822515008803242,13.117304921636729,16.05944742829929,30.637430908994695,23.895758269273323,11.41304719595147,22.05627802124323,17.84434247491317,23.08340703441442,18.127083193026678,11.61604180096018,34.986241749968734,24.842583510520594,17.096498908013356,34.53729783815508,2112463,18.283786406923145,58722,0.4766,2.1251969856986843,49.781984347181464,5.761319403778302,14.549143017425067,3.5363970828806406,9.5,29.1,36.50266679637803,1,8.189492549691995,156,17,7.384744726889891,0.8047478228021036,90.17341040462428,8.0,6.405747060734723,1.7837454889572717,0.5130590897579986,Q3
NV,385,607,2023.0,10.599337219223193,9.145552662844565,12.168983821195907,14.853975887282614,31.00672377223688,20.944420585116138,10.599337219223193,18.559806356699173,15.461515935603735,21.463245409094895,16.495967339388095,10.389078709204139,37.67352106274569,25.445397732256342,19.209919743882114,31.203555788567186,3104817,12.71182927732838,71646,0.4675,9.347507437636422,29.583353865944435,7.083015732109849,8.233512736847443,4.406203458526348,11.4,26.5,45.930089859802216,1,12.400086703982875,375,10,12.07800652985345,0.32208017412942536,97.40259740259741,7.0,7.601857910310011,4.798228793672864,1.3801155560435392,Q4_high
NY,793,1695,2023.0,9.925143332000111,8.688884730222478,11.277263987104732,8.20188980961749,29.18451484014023,18.02936382396657,9.925143332000111,17.845211182816975,14.655006736142802,17.348412785142663,15.61497003966612,9.024445318739469,35.07915999735577,25.028071414643794,15.863861964673301,28.911432392468328,19994379,13.60694005374913,81386,0.5147,15.059812560320077,19.484045991125807,28.965235557838408,9.348370699911092,3.90677676612164,5.2,38.8,52.46659253593676,1,3.9661146765298385,617,176,3.085867282999887,0.8802473935299516,77.80580075662043,5.0,7.037725759839368,-3.07161108330953,-0.8834881412451985,Q1_low
OH,719,1773,2023.0,11.316521293472265,9.836722753535879,12.928738930030264,8.289064184565039,33.38629836329039,26.249141428770173,11.316521293472265,14.689322707856626,12.243812692902805,18.467065127473465,12.318256138543461,8.151841500590647,35.960481200423864,25.84512629184265,18.556500002552216,37.21187600873662,11774683,13.305625102635451,66990,0.4664,12.30988554001836,4.200750032930823,7.435470104029559,9.835265652874009,3.1642708253728156,6.4,30.4,75.88604992369135,1,6.106321503517335,633,86,5.375940906434594,0.730380597082741,88.03894297635605,8.0,6.405747060734723,-0.29942555721738806,-0.08612383593246725,Q2
